dates,Market participants,Real sector,Households
2015-01-01,6.81,8.6,22.35
2015-02-01,6.69,8.4,23.65
2015-03-01,6.78,8.6,27.3
2015-04-01,6.91,8.5,24.62
2015-05-01,6.85,8.6,28.0
2015-06-01,7.0,8.9,23.63
2015-07-01,7.05,8.7,24.22
2015-08-01,7.04,8.6,23.13
2015-09-01,7.25,8.7,27.45
2015-10-01,7.34,8.7,24.55
2015-11-01,7.42,8.6,22.21
2015-12-01,7.56,8.7,21.35
2016-01-01,7.92,8.9,23.18
2016-02-01,7.96,9.1,24.16
2016-03-01,7.89,9.0,23.5
2016-04-01,7.78,8.7,22.76
2016-05-01,7.81,8.7,22.34
2016-06-01,7.6,8.6,21.7
2016-07-01,7.59,8.6,23.03
2016-08-01,7.61,8.8,21.43
2016-09-01,7.62,8.7,16.92
2016-10-01,7.61,8.6,16.7
2016-11-01,7.87,8.7,19.82
2016-12-01,8.04,8.9,20.88
2017-01-01,8.19,9.3,22.2
2017-02-01,8.21,9.4,23.99
2017-03-01,8.15,9.6,20.94
2017-04-01,8.27,10.1,23.94
2017-05-01,8.41,10.2,22.73
2017-06-01,8.32,10.3,22.63
2017-07-01,8.41,10.2,21.67
2017-08-01,8.37,10.0,22.08
2017-09-01,8.35,10.1,22.79
2017-10-01,8.52,10.3,23.58
2017-11-01,8.65,10.6,24.82
2017-12-01,9.3,11.2,24.53
2018-01-01,9.24,11.1,23.01
2018-02-01,9.26,10.9,23.65
2018-03-01,9.24,10.9,23.24
2018-04-01,9.62,11.4,24.06
2018-05-01,10.15,11.5,27.1
2018-06-01,10.47,12.4,24.47
2018-07-01,11.07,13.6,29.64
2018-08-01,12.96,15.0,30.29
2018-09-01,14.46,18.0,37.34
2018-10-01,17.03,22.1,43.94
2018-11-01,17.38,22.1,41.71
2018-12-01,16.46,20.3,41.79
2019-01-01,15.91,19.6,40.63
2019-02-01,15.47,19.3,42.37
2019-03-01,15.24,19.1,44.46
2019-04-01,15.38,19.2,41.21
2019-05-01,15.48,19.7,45.78
2019-06-01,14.88,19.0,44.27
2019-07-01,13.9,18.0,43.27
2019-08-01,12.77,17.1,40.11
2019-09-01,12.21,16.6,40.62
2019-10-01,11.18,15.2,41.65
2019-11-01,10.46,14.2,39.65
2019-12-01,10.07,13.7,39.99
2020-01-01,9.54,13.1,38.36
2020-02-01,9.61,13.0,40.07
2020-03-01,9.51,13.2,40.32
2020-04-01,9.7,13.5,40.18
2020-05-01,9.2,12.9,39.02
2020-06-01,9.03,12.8,39.56
2020-07-01,9.33,12.9,39.61
2020-08-01,9.7,13.1,38.64
2020-09-01,10.15,13.3,40.05
2020-10-01,10.53,13.5,41.24
2020-11-01,10.77,14.1,43.4
2020-12-01,10.84,14.4,40.79
2021-01-01,10.53,14.5,41.22
2021-02-01,10.36,14.4,40.11
2021-03-01,10.47,14.6,39.23
2021-04-01,11.26,15.8,44.46
2021-05-01,11.81,16.4,44.31
2021-06-01,12.12,16.5,44.9
2021-07-01,12.62,16.9,45.81
2021-08-01,12.48,17.2,48.66
2021-09-01,12.94,17.9,47.41
2021-10-01,13.91,18.8,50.77
2021-11-01,15.61,20.7,52.15
2021-12-01,21.39,24.6,58.22
2022-01-01,25.37,30.7,58.32
2022-02-01,24.83,36.0,62.84
2022-03-01,26.43,40.1,65.65
2022-04-01,28.41,48.6,74.31
2022-05-01,33.28,53.9,76.85
2022-06-01,37.91,61.1,87.13
2022-07-01,40.23,63.4,84.18
2022-08-01,41.99,65.7,82.55
2022-09-01,36.74,67.1,82.06
2022-10-01,37.34,68.9,81.07
2022-11-01,37.47,70.1,84.83
2022-12-01,34.92,67.5,84.04
2023-01-01,30.44,60.6,80.6
2023-02-01,30.75,57.3,75.88
2023-03-01,31.63,57.1,78.76
2023-04-01,31.02,55.5,71.58
2023-05-01,29.84,53.0,68.78
2023-06-01,30.65,51.4,72.65
2023-07-01,33.21,49.9,74.53
2023-08-01,42.01,57.6,88.27
2023-09-01,44.94,58.6,80.94
2023-10-01,45.28,58.7,80.63
2023-11-01,43.94,59.2,78.74
2023-12-01,41.23,57.9,76.77
2024-01-01,39.09,55.5,75.29
2024-02-01,37.78,55.5,79.1
2024-03-01,36.7,55.8,80.01
2024-04-01,35.17,56.2,76.68
2024-05-01,33.21,56.0,76.09
2024-06-01,31.79,56.2,71.49
2024-07-01,30.02,55.0,71.98
2024-08-01,28.71,53.8,73.14
2024-09-01,27.49,51.1,71.56
2024-10-01,27.44,49.5,67.23
2024-11-01,27.2,47.8,64.05
2024-12-01,27.07,47.6,63.14
2025-01-01,25.38,43.8,58.82
2025-02-01,25.26,41.9,59.18
2025-03-01,24.55,41.1,59.25
2025-04-01,25.56,41.7,59.3
2025-05-01,25.06,41.0,59.86
2025-06-01,24.56,39.8,52.99
2025-07-01,23.39,39.0,54.53
2025-08-01,22.84,37.7,54.07
2025-09-01,22.25,36.8,52.99
2025-10-01,23.26,36.3,54.39
