dates,inflation,wage,Real Minimum Wage
1969-01-01,0.00018,,
1969-02-01,0.00018,,
1969-03-01,0.00018,,
1969-04-01,0.00018,,
1969-05-01,0.00019,,
1969-06-01,0.00018,,
1969-07-01,0.00018,,
1969-08-01,0.00018,,
1969-09-01,0.00018,,
1969-10-01,0.00018,,
1969-11-01,0.00018,,
1969-12-01,0.00018,,
1970-01-01,0.00019,,
1970-02-01,0.00019,,
1970-03-01,0.00019,,
1970-04-01,0.00019,,
1970-05-01,0.00019,,
1970-06-01,0.00019,,
1970-07-01,0.00019,,
1970-08-01,0.00019,,
1970-09-01,0.0002,,
1970-10-01,0.0002,,
1970-11-01,0.0002,,
1970-12-01,0.0002,,
1971-01-01,0.00021,,
1971-02-01,0.00021,,
1971-03-01,0.00022,,
1971-04-01,0.00022,,
1971-05-01,0.00022,,
1971-06-01,0.00022,,
1971-07-01,0.00023,,
1971-08-01,0.00023,,
1971-09-01,0.00023,,
1971-10-01,0.00023,,
1971-11-01,0.00024,,
1971-12-01,0.00024,,
1972-01-01,0.00024,,
1972-02-01,0.00025,,
1972-03-01,0.00024,,
1972-04-01,0.00025,,
1972-05-01,0.00025,,
1972-06-01,0.00025,,
1972-07-01,0.00025,,
1972-08-01,0.00025,,
1972-09-01,0.00026,,
1972-10-01,0.00026,,
1972-11-01,0.00026,,
1972-12-01,0.00026,,
1973-01-01,0.00027,,
1973-02-01,0.00027,,
1973-03-01,0.00027,,
1973-04-01,0.00029,,
1973-05-01,0.00029,,
1973-06-01,0.00029,,
1973-07-01,0.00029,,
1973-08-01,0.0003,,
1973-09-01,0.0003,,
1973-10-01,0.00031,,
1973-11-01,0.00031,,
1973-12-01,0.00031,,
1974-01-01,0.00031,,
1974-02-01,0.00031,,
1974-03-01,0.00032,,
1974-04-01,0.00033,,
1974-05-01,0.00033,,
1974-06-01,0.00033,,
1974-07-01,0.00033,,
1974-08-01,0.00034,,
1974-09-01,0.00035,,
1974-10-01,0.00036,,
1974-11-01,0.00036,,
1974-12-01,0.00036,,
1975-01-01,0.00037,,
1975-02-01,0.00038,,
1975-03-01,0.00039,,
1975-04-01,0.0004,,
1975-05-01,0.0004,,
1975-06-01,0.0004,,
1975-07-01,0.00039,,
1975-08-01,0.00039,,
1975-09-01,0.00041,,
1975-10-01,0.00042,,
1975-11-01,0.00042,,
1975-12-01,0.00043,,
1976-01-01,0.00044,,
1976-02-01,0.00045,,
1976-03-01,0.00046,,
1976-04-01,0.00046,,
1976-05-01,0.00048,,
1976-06-01,0.00045,,
1976-07-01,0.00046,,
1976-08-01,0.00046,,
1976-09-01,0.00048,,
1976-10-01,0.00049,,
1976-11-01,0.0005,,
1976-12-01,0.0005,,
1977-01-01,0.00051,,
1977-02-01,0.00051,,
1977-03-01,0.00053,,
1977-04-01,0.00054,,
1977-05-01,0.00056,,
1977-06-01,0.00055,,
1977-07-01,0.00057,,
1977-08-01,0.00059,,
1977-09-01,0.00068,,
1977-10-01,0.00069,,
1977-11-01,0.00072,,
1977-12-01,0.00072,,
1978-01-01,0.00074,,
1978-02-01,0.00076,,
1978-03-01,0.00079,,
1978-04-01,0.00082,,
1978-05-01,0.00085,,
1978-06-01,0.00084,,
1978-07-01,0.00089,,
1978-08-01,0.00088,,
1978-09-01,0.00093,,
1978-10-01,0.00095,,
1978-11-01,0.00099,,
1978-12-01,0.00098,,
1979-01-01,0.00103,,
1979-02-01,0.00105,,
1979-03-01,0.0011,,
1979-04-01,0.00121,,
1979-05-01,0.00125,,
1979-06-01,0.00131,,
1979-07-01,0.0014,,
1979-08-01,0.00146,,
1979-09-01,0.00156,,
1979-10-01,0.00167,,
1979-11-01,0.0017,,
1979-12-01,0.00178,,
1980-01-01,0.00196,,
1980-02-01,0.00238,,
1980-03-01,0.00258,,
1980-04-01,0.00273,,
1980-05-01,0.00301,,
1980-06-01,0.00296,,
1980-07-01,0.00302,,
1980-08-01,0.00304,,
1980-09-01,0.00314,,
1980-10-01,0.00326,,
1980-11-01,0.00331,,
1980-12-01,0.00332,,
1981-01-01,0.00358,,
1981-02-01,0.00367,,
1981-03-01,0.00366,,
1981-04-01,0.00373,,
1981-05-01,0.00381,,
1981-06-01,0.00382,,
1981-07-01,0.00405,,
1981-08-01,0.00405,,
1981-09-01,0.00418,,
1981-10-01,0.00425,,
1981-11-01,0.00426,,
1981-12-01,0.00432,,
1982-01-01,0.0047,,
1982-02-01,0.00481,,
1982-03-01,0.00492,,
1982-04-01,0.00496,,
1982-05-01,0.00498,,
1982-06-01,0.00506,,
1982-07-01,0.00512,,
1982-08-01,0.00519,,
1982-09-01,0.00535,,
1982-10-01,0.00549,,
1982-11-01,0.00562,,
1982-12-01,0.00581,,
1983-01-01,0.00606,,
1983-02-01,0.00621,,
1983-03-01,0.00634,,
1983-04-01,0.00643,,
1983-05-01,0.00647,,
1983-06-01,0.00656,,
1983-07-01,0.00663,,
1983-08-01,0.00678,,
1983-09-01,0.007,,
1983-10-01,0.00737,,
1983-11-01,0.00765,,
1983-12-01,0.00797,,
1984-01-01,0.00824,,
1984-02-01,0.00837,,
1984-03-01,0.00863,,
1984-04-01,0.00917,,
1984-05-01,0.00961,,
1984-06-01,0.01024,,
1984-07-01,0.01033,,
1984-08-01,0.01059,,
1984-09-01,0.01081,,
1984-10-01,0.01128,,
1984-11-01,0.01171,,
1984-12-01,0.01193,,
1985-01-01,0.01259,,
1985-02-01,0.01301,,
1985-03-01,0.01363,,
1985-04-01,0.01375,,
1985-05-01,0.01408,,
1985-06-01,0.01397,,
1985-07-01,0.01417,,
1985-08-01,0.01453,,
1985-09-01,0.01522,,
1985-10-01,0.01618,,
1985-11-01,0.01693,,
1985-12-01,0.0172,,
1986-01-01,0.01775,,
1986-02-01,0.01806,,
1986-03-01,0.0183,,
1986-04-01,0.01837,,
1986-05-01,0.01871,,
1986-06-01,0.01916,,
1986-07-01,0.01952,,
1986-08-01,0.01969,,
1986-09-01,0.02016,,
1986-10-01,0.02162,,
1986-11-01,0.02211,,
1986-12-01,0.02248,,
1987-01-01,0.02314,,
1987-02-01,0.02376,,
1987-03-01,0.02465,,
1987-04-01,0.02517,,
1987-05-01,0.02641,,
1987-06-01,0.02638,,
1987-07-01,0.02689,,
1987-08-01,0.02735,,
1987-09-01,0.02815,,
1987-10-01,0.0295,,
1987-11-01,0.03134,,
1987-12-01,0.03485,,
1988-01-01,0.038,,
1988-02-01,0.03942,,
1988-03-01,0.0416,,
1988-04-01,0.0442,,
1988-05-01,0.04573,,
1988-06-01,0.04614,,
1988-07-01,0.04687,,
1988-08-01,0.04799,,
1988-09-01,0.05083,,
1988-10-01,0.05367,,
1988-11-01,0.05654,,
1988-12-01,0.05793,,
1989-01-01,0.06175,,
1989-02-01,0.0647,,
1989-03-01,0.06666,,
1989-04-01,0.07081,,
1989-05-01,0.07297,,
1989-06-01,0.0745,,
1989-07-01,0.07676,,
1989-08-01,0.07947,,
1989-09-01,0.08394,,
1989-10-01,0.08913,,
1989-11-01,0.09301,,
1989-12-01,0.09516,,
1990-01-01,0.09882,,
1990-02-01,0.10319,,
1990-03-01,0.10854,,
1990-04-01,0.11575,,
1990-05-01,0.11938,,
1990-06-01,0.1211,,
1990-07-01,0.11998,,
1990-08-01,0.12304,,
1990-09-01,0.13374,,
1990-10-01,0.14288,,
1990-11-01,0.15004,,
1990-12-01,0.15266,,
1991-01-01,0.16008,,
1991-02-01,0.16876,,
1991-03-01,0.17613,,
1991-04-01,0.18768,,
1991-05-01,0.19393,,
1991-06-01,0.19966,,
1991-07-01,0.20229,,
1991-08-01,0.21034,,
1991-09-01,0.22314,,
1991-10-01,0.23786,,
1991-11-01,0.25033,,
1991-12-01,0.26125,,
1992-01-01,0.28574,,
1992-02-01,0.30013,,
1992-03-01,0.31473,,
1992-04-01,0.32655,,
1992-05-01,0.32942,,
1992-06-01,0.33103,,
1992-07-01,0.33539,,
1992-08-01,0.34812,,
1992-09-01,0.37413,,
1992-10-01,0.40241,,
1992-11-01,0.42204,,
1992-12-01,0.43359,,
1993-01-01,0.45652,,
1993-02-01,0.47467,,
1993-03-01,0.49731,,
1993-04-01,0.51912,,
1993-05-01,0.54363,,
1993-06-01,0.5536,,
1993-07-01,0.58062,,
1993-08-01,0.59613,,
1993-09-01,0.62946,,
1993-10-01,0.67284,,
1993-11-01,0.71586,,
1993-12-01,0.74177,,
1994-01-01,0.8,,
1994-02-01,0.84,,
1994-03-01,0.88,,
1994-04-01,1.08,,
1994-05-01,1.16,,
1994-06-01,1.19,,
1994-07-01,1.22,,
1994-08-01,1.26,,
1994-09-01,1.33,,
1994-10-01,1.42,,
1994-11-01,1.5,,
1994-12-01,1.6,,
1995-01-01,1.8,,
1995-02-01,1.88,,
1995-03-01,1.95,,
1995-04-01,2.03,,
1995-05-01,2.09,,
1995-06-01,2.15,,
1995-07-01,2.21,,
1995-08-01,2.31,,
1995-09-01,2.48,,
1995-10-01,2.62,,
1995-11-01,2.73,,
1995-12-01,2.82,,
1996-01-01,3.21,,
1996-02-01,3.33,,
1996-03-01,3.48,,
1996-04-01,3.67,,
1996-05-01,3.81,,
1996-06-01,3.92,,
1996-07-01,4.02,,
1996-08-01,4.2,17.01,84.42134831460675
1996-09-01,4.44,17.01,79.85803218949286
1996-10-01,4.71,17.01,75.28018321047736
1996-11-01,4.92,17.01,72.06700465881065
1996-12-01,5.08,17.01,69.7971777404229
1997-01-01,5.64,17.01,62.86696151087736
1997-02-01,5.92,17.01,59.893524142119645
1997-03-01,6.17,17.01,57.466720084497304
1997-04-01,6.5,17.01,54.549178910976664
1997-05-01,6.77,17.01,52.37365774318292
1997-06-01,6.98,17.01,50.79794597727053
1997-07-01,7.44,17.01,47.65721275824574
1997-08-01,7.9,35.44,93.51125439192569
1997-09-01,8.42,35.44,87.73621255299442
1997-10-01,9.09,35.44,81.26940700728416
1997-11-01,9.64,35.44,76.63266698093496
1997-12-01,10.11,35.44,73.07011965343354
1998-01-01,11.37,35.44,64.97263937521663
1998-02-01,11.8,35.44,62.60499234713669
1998-03-01,12.17,35.44,60.70163596517773
1998-04-01,12.59,35.44,58.67664096077942
1998-05-01,12.95,35.44,57.04547565221722
1998-06-01,13.3,35.44,55.54427892452729
1998-07-01,13.78,35.44,53.609499977954506
1998-08-01,14.32,47.84,69.63785956567325
1998-09-01,15.2,47.84,65.60619401187112
1998-10-01,16.04,47.84,62.170458165862904
1998-11-01,16.65,47.84,59.892741680506965
1998-12-01,17.15,47.84,58.14659760818898
1999-01-01,18.86,78.08,86.2969361821936
1999-02-01,19.34,78.08,84.15513011355591
1999-03-01,19.89,78.08,81.82806517828915
1999-04-01,20.63,78.08,78.89288494407035
1999-05-01,21.11,78.08,77.09901546168504
1999-06-01,21.85,78.08,74.48788175726183
1999-07-01,22.74,93.6,85.79908359932669
1999-08-01,23.69,93.6,82.35842807297125
1999-09-01,24.97,93.6,78.13661037439684
1999-10-01,26.42,93.6,73.84826499048783
1999-11-01,27.41,93.6,71.18099821410759
1999-12-01,28.95,93.6,67.39451333501516
2000-01-01,31.85,109.8,71.86048836129092
2000-02-01,32.81,109.8,69.75789558997609
2000-03-01,33.4,109.8,68.5256453385364
2000-04-01,33.79,109.8,67.7347308170203
2000-05-01,34.35,109.8,66.6304673742974
2000-06-01,34.65,109.8,66.05358021088357
2000-07-01,35.52,118.8,69.71732968923979
2000-08-01,36.29,118.8,68.23806973165604
2000-09-01,37.21,118.8,66.55091509169034
2000-10-01,38.16,118.8,64.89411820130498
2000-11-01,39.41,118.8,62.83581706576498
2000-12-01,40.24,118.8,61.53975026247011
2001-01-01,43.29,139.95,67.38800165766456
2001-02-01,43.77,139.95,66.6489968416792
2001-03-01,45.93,139.95,63.51462207185498
2001-04-01,50.11,139.95,58.21645563281378
2001-05-01,52.35,139.95,55.72543632779941
2001-06-01,54.09,139.95,53.93282661786465
2001-07-01,55.51,146.95,55.18176965036422
2001-08-01,57.16,167.94,61.243385411342885
2001-09-01,60.2,167.94,58.15069618126842
2001-10-01,63.53,167.94,55.10265874566912
2001-11-01,65.94,167.94,53.088745982898985
2001-12-01,67.8,167.94,51.63232905770442
2002-01-01,74.98,222.0,61.71699885679043
2002-02-01,75.77,222.0,61.07351952332252
2002-03-01,75.83,222.0,61.02519549363242
2002-04-01,76.52,222.0,60.47491602564228
2002-05-01,76.54,222.0,60.45911385265413
2002-06-01,77.13,222.0,59.99663651344674
2002-07-01,78.44,250.88,66.66927262220881
2002-08-01,80.14,250.88,65.25502551143072
2002-09-01,82.47,250.88,63.41139498588649
2002-10-01,84.75,250.88,61.705460111929895
2002-11-01,86.91,250.88,60.17187601525783
2002-12-01,87.94,250.88,59.467111035775055
2003-01-01,94.76927,306.0,67.30559254765997
2003-02-01,96.23106,306.0,66.28319248129633
2003-03-01,98.11958,306.0,65.00743146942919
2003-04-01,99.08692,306.0,64.3727938325177
2003-05-01,100.04151,306.0,63.758552551427655
2003-06-01,100.11729,306.0,63.71029292402117
2003-07-01,99.92805,306.0,63.83094509158515
2003-08-01,100.09069,306.0,63.72722450668664
2003-09-01,101.4392,306.0,62.880049060512846
2003-10-01,102.37638,306.0,62.30442874283282
2003-11-01,103.67603,306.0,61.52340008253764
2003-12-01,104.12401,306.0,61.25870366171236
2004-01-01,104.8081,423.0,84.12842923371416
2004-02-01,105.35363,423.0,83.69280511710927
2004-03-01,106.36177,423.0,82.89953076157002
2004-04-01,106.88765,423.0,82.49167068384455
2004-05-01,107.35273,423.0,82.13429527101954
2004-06-01,107.2072,423.0,82.24578968548788
2004-07-01,107.71516,444.15,85.95083426667647
2004-08-01,108.54439,444.15,85.29420880405277
2004-09-01,109.56651,444.15,84.49851934837149
2004-10-01,112.02573,444.15,82.64358433699596
2004-11-01,113.50008,444.15,81.57005585519005
2004-12-01,113.86307,444.15,81.31001443372762
2005-01-01,114.49,488.7,88.97582930063072
2005-02-01,114.51,488.7,88.96028902828759
