dates,Total,Male,Female
2005-01-01,9.2,9.4,8.7
2005-02-01,9.2,9.4,8.5
2005-03-01,9.2,9.4,8.6
2005-04-01,9.4,9.5,9.0
2005-05-01,9.4,9.4,9.3
2005-06-01,9.4,9.5,9.2
2005-07-01,9.1,9.3,8.7
2005-08-01,9.1,9.2,8.6
2005-09-01,9.1,9.2,8.7
2005-10-01,9.3,9.3,9.2
2005-11-01,9.3,9.3,9.5
2005-12-01,9.3,9.2,9.4
2006-01-01,9.3,9.3,9.2
2006-02-01,9.1,9.2,8.9
2006-03-01,9.0,9.1,8.7
2006-04-01,8.6,8.7,8.3
2006-05-01,8.6,8.8,8.0
2006-06-01,8.4,8.6,7.8
2006-07-01,9.1,8.7,10.1
2006-08-01,8.8,8.6,9.3
2006-09-01,8.5,8.5,8.7
2006-10-01,8.5,8.4,8.9
2006-11-01,8.5,8.2,9.2
2006-12-01,8.5,8.3,9.1
2007-01-01,8.5,8.5,8.6
2007-02-01,8.4,8.5,8.2
2007-03-01,8.5,8.5,8.4
2007-04-01,8.8,8.9,8.7
2007-05-01,8.7,8.7,9.0
2007-06-01,8.8,8.7,9.1
2007-07-01,8.9,8.9,9.1
2007-08-01,8.8,8.6,9.3
2007-09-01,9.0,8.9,9.4
2007-10-01,9.1,9.0,9.7
2007-11-01,9.3,9.1,9.7
2007-12-01,9.3,9.1,9.7
2008-01-01,9.3,9.1,9.6
2008-02-01,9.2,9.1,9.6
2008-03-01,9.3,9.2,9.5
2008-04-01,9.0,8.9,9.2
2008-05-01,9.2,9.1,9.3
2008-06-01,9.5,9.6,9.5
2008-07-01,9.5,9.4,9.8
2008-08-01,9.9,9.9,10.0
2008-09-01,9.9,9.8,10.2
2008-10-01,10.3,10.2,10.6
2008-11-01,10.6,10.4,11.1
2008-12-01,12.5,12.7,11.7
2009-01-01,12.6,12.7,12.4
2009-02-01,13.0,12.9,13.2
2009-03-01,13.3,13.3,13.5
2009-04-01,13.6,13.6,13.6
2009-05-01,13.6,13.6,13.6
2009-06-01,13.3,13.3,13.4
2009-07-01,13.3,13.2,13.5
2009-08-01,13.1,13.0,13.4
2009-09-01,13.0,12.9,13.2
2009-10-01,12.3,12.4,12.2
2009-11-01,12.1,12.3,11.7
2009-12-01,12.1,12.2,11.7
2010-01-01,12.1,12.0,12.3
2010-02-01,12.1,11.9,12.5
2010-03-01,11.7,11.4,12.3
2010-04-01,11.3,11.1,12.0
2010-05-01,11.1,10.8,11.7
2010-06-01,10.9,10.6,11.7
2010-07-01,11.0,10.7,11.9
2010-08-01,11.0,10.5,12.0
2010-09-01,10.9,10.5,12.0
2010-10-01,10.6,10.2,11.5
2010-11-01,10.0,9.6,11.1
2010-12-01,10.0,9.6,10.9
2011-01-01,9.7,9.2,10.8
2011-02-01,9.4,8.9,10.7
2011-03-01,9.3,8.8,10.6
2011-04-01,9.3,8.8,10.8
2011-05-01,9.2,8.6,10.9
2011-06-01,9.2,8.6,10.9
2011-07-01,9.1,8.4,10.8
2011-08-01,8.8,8.1,10.5
2011-09-01,8.7,8.1,10.1
2011-10-01,8.3,7.7,9.7
2011-11-01,8.5,8.1,9.6
2011-12-01,8.3,7.8,9.5
2012-01-01,8.4,8.0,9.6
2012-02-01,8.5,8.0,9.7
2012-03-01,8.4,7.9,9.6
2012-04-01,8.1,7.7,9.4
2012-05-01,8.1,7.6,9.3
2012-06-01,8.1,7.6,9.3
2012-07-01,8.0,7.4,9.4
2012-08-01,8.3,7.7,9.7
2012-09-01,8.3,7.6,9.9
2012-10-01,8.4,7.7,10.1
2012-11-01,8.4,7.7,10.2
2012-12-01,8.6,7.9,10.3
2013-01-01,8.6,7.8,10.3
2013-02-01,8.6,7.8,10.4
2013-03-01,8.6,7.9,10.5
2013-04-01,8.8,8.0,10.6
2013-05-01,8.8,8.0,10.7
