dates,Total,Male,Female
2005-01-01,44.3,68.2,21.2
2005-02-01,44.0,67.9,21.0
2005-03-01,44.1,68.1,21.0
2005-04-01,44.2,68.1,21.1
2005-05-01,44.1,67.8,21.3
2005-06-01,44.1,68.0,21.2
2005-07-01,43.9,67.7,21.0
2005-08-01,44.1,67.9,21.1
2005-09-01,44.1,67.8,21.3
2005-10-01,44.2,67.6,21.7
2005-11-01,44.2,67.5,21.7
2005-12-01,44.0,67.4,21.5
2006-01-01,43.5,67.0,20.9
2006-02-01,43.5,67.3,20.7
2006-03-01,43.5,67.1,20.8
2006-04-01,43.7,67.1,21.1
2006-05-01,43.8,67.0,21.4
2006-06-01,43.7,66.9,21.4
2006-07-01,44.1,67.0,22.0
2006-08-01,44.0,67.1,21.8
2006-09-01,44.1,67.3,21.6
2006-10-01,43.9,67.1,21.6
2006-11-01,44.2,67.6,21.6
2006-12-01,44.3,67.8,21.7
2007-01-01,43.8,66.8,21.6
2007-02-01,44.0,67.2,21.7
2007-03-01,43.9,67.0,21.6
2007-04-01,43.7,66.6,21.6
2007-05-01,43.9,67.1,21.5
2007-06-01,43.8,67.0,21.5
2007-07-01,43.8,67.2,21.4
2007-08-01,44.0,67.6,21.3
2007-09-01,43.8,67.3,21.1
2007-10-01,43.5,67.1,20.7
2007-11-01,43.3,66.9,20.6
2007-12-01,43.3,66.8,20.7
2008-01-01,43.8,67.5,21.0
2008-02-01,43.8,67.0,21.4
2008-03-01,44.0,67.2,21.6
2008-04-01,44.3,67.6,21.8
2008-05-01,44.2,67.2,21.9
2008-06-01,44.4,67.5,22.1
2008-07-01,44.8,68.0,22.3
2008-08-01,44.6,67.4,22.5
2008-09-01,44.6,67.4,22.5
2008-10-01,44.8,67.8,22.5
2008-11-01,44.4,66.8,22.6
2008-12-01,45.0,68.0,22.7
2009-01-01,45.2,68.0,23.1
2009-02-01,45.1,67.6,23.2
2009-03-01,45.0,67.3,23.3
2009-04-01,44.9,67.1,23.3
2009-05-01,45.1,67.5,23.3
2009-06-01,45.3,67.7,23.7
2009-07-01,45.7,68.0,24.0
2009-08-01,45.9,68.3,24.2
2009-09-01,46.0,68.2,24.4
2009-10-01,45.8,67.8,24.4
2009-11-01,46.0,68.1,24.5
2009-12-01,46.2,68.4,24.6
2010-01-01,46.3,68.2,25.0
2010-02-01,46.6,68.6,25.2
2010-03-01,46.7,68.9,25.1
2010-04-01,46.4,68.4,24.9
2010-05-01,46.3,68.4,24.8
2010-06-01,46.3,68.3,24.8
2010-07-01,46.3,68.1,25.1
2010-08-01,46.2,67.9,25.2
2010-09-01,46.2,67.7,25.2
2010-10-01,46.1,67.6,25.2
2010-11-01,46.3,67.9,25.3
2010-12-01,46.6,68.2,25.5
2011-01-01,47.1,69.0,25.7
2011-02-01,47.4,69.4,26.0
2011-03-01,47.2,69.1,26.0
2011-04-01,47.2,69.0,26.0
2011-05-01,47.0,68.6,26.1
2011-06-01,47.0,68.4,26.2
2011-07-01,47.5,69.1,26.5
2011-08-01,47.3,68.5,26.6
2011-09-01,47.2,68.6,26.4
2011-10-01,47.0,68.4,26.2
2011-11-01,46.8,68.2,26.0
2011-12-01,46.7,68.1,26.0
2012-01-01,46.6,67.9,25.9
2012-02-01,46.4,67.5,25.9
2012-03-01,46.7,67.8,26.1
2012-04-01,46.9,68.0,26.2
2012-05-01,47.0,68.1,26.4
2012-06-01,47.0,68.1,26.4
2012-07-01,46.7,67.6,26.3
2012-08-01,46.9,67.8,26.5
2012-09-01,47.1,68.0,26.9
2012-10-01,47.7,68.7,27.4
2012-11-01,48.0,68.9,27.7
2012-12-01,48.1,69.0,27.8
2013-01-01,48.3,69.2,27.9
2013-02-01,48.4,69.5,28.0
2013-03-01,48.3,69.2,28.0
2013-04-01,48.1,68.9,27.9
2013-05-01,48.0,68.8,27.8
2013-06-01,47.9,68.5,27.7
2013-07-01,47.7,68.1,27.7
2013-08-01,47.7,68.3,27.7
2013-09-01,47.8,68.3,27.8
2013-10-01,47.8,68.3,27.9
2013-11-01,48.0,68.4,28.0
2013-12-01,48.1,68.6,28.2
2014-01-01,49.5,70.5,29.1
2014-02-01,49.5,70.2,29.2
2014-03-01,50.2,71.2,29.6
2014-04-01,50.2,71.1,29.9
2014-05-01,50.0,70.5,29.9
2014-06-01,50.7,72.0,30.0
2014-07-01,50.1,71.0,29.6
2014-08-01,49.7,70.0,29.8
2014-09-01,50.8,72.2,29.9
2014-10-01,50.5,71.1,30.4
2014-11-01,50.3,70.6,30.5
2014-12-01,50.7,71.2,30.7
2015-01-01,50.9,71.6,30.6
2015-02-01,50.6,70.9,30.8
2015-03-01,50.8,71.2,30.9
2015-04-01,51.0,71.3,31.2
2015-05-01,50.8,70.9,31.2
2015-06-01,51.4,71.8,31.5
2015-07-01,51.1,71.6,31.1
2015-08-01,51.1,71.2,31.4
2015-09-01,51.3,71.5,31.5
2015-10-01,51.6,72.1,31.6
2015-11-01,51.4,71.4,31.9
2015-12-01,51.4,71.1,32.2
2016-01-01,51.7,71.9,31.9
2016-02-01,51.1,71.2,31.6
2016-03-01,51.2,71.1,31.8
2016-04-01,51.8,72.3,31.7
2016-05-01,51.8,71.9,32.1
2016-06-01,51.7,71.7,32.1
2016-07-01,51.7,71.4,32.3
2016-08-01,52.0,72.1,32.4
2016-09-01,51.8,71.4,32.7
2016-10-01,52.3,72.1,33.0
2016-11-01,52.4,72.2,33.1
2016-12-01,52.4,71.9,33.3
2017-01-01,52.2,71.7,33.0
2017-02-01,52.4,72.2,33.1
2017-03-01,52.0,71.3,33.1
2017-04-01,52.4,72.1,33.1
2017-05-01,52.8,73.0,33.1
2017-06-01,52.2,71.6,33.2
2017-07-01,52.8,72.7,33.2
2017-08-01,52.9,72.5,33.7
2017-09-01,52.6,72.1,33.5
2017-10-01,53.0,72.5,33.8
2017-11-01,53.0,72.3,34.0
2017-12-01,52.8,71.9,34.1
2018-01-01,52.9,72.2,33.9
2018-02-01,52.7,71.8,34.0
