,SME,Large (rhs)
2009-01-01,68.72138299746159,31.27861700253841
2010-01-01,68.02342587168437,31.976574128315633
2011-01-01,67.28128286489155,32.71871713510844
2012-01-01,67.21169877827144,32.78830122172855
2013-01-01,68.26244076841317,31.737559231586832
2014-01-01,67.48072280358006,32.51927719641994
2015-01-01,66.66774909193933,33.33225090806068
2016-01-01,65.58629953009394,34.413700469906054
2017-01-01,64.24467466613267,35.755325333867326
2018-01-01,68.11915579174321,31.880844208256786
2019-01-01,66.68794787441075,33.312052125589254
2020-01-01,66.25160550737888,33.74839449262111
2021-01-01,65.11487669006247,34.885123309937526
2022-01-01,64.75021778413188,35.24978221586812
2023-01-01,64.942262524657,35.057737475342996
