,Current Account Balance,Gold,Tourism & Transport,Energy Balance,Other
2022-01-01,-9.081287102263643,-0.9270860744608285,4.02869334052196,-11.205901765313229,-0.9769926030115463
2022-04-01,-5.0519772018269,-1.3119510496565054,5.7674643713246105,-8.271812292513804,-1.2356782309811996
2022-07-01,-2.8510123415489144,-2.913164588172528,10.70128503473008,-9.035169315546245,-1.6039634725602212
2022-10-01,-4.359394044687413,-3.2908391989203385,5.815513977534765,-7.849679698378429,0.9656108750765883
2023-01-01,-8.813524897716379,-3.65271560600654,3.6530863271682175,-6.690324729019499,-2.123570889858557
2023-04-01,-4.0245575041100725,-1.9463673485064283,5.402213889757202,-3.934883778981578,-3.545520266379268
2023-07-01,-0.7081691795121503,-2.5187082820207105,8.635414242256024,-4.14445369622127,-2.680421443526194
2023-10-01,-1.6001581322567526,-1.2395296429905185,4.770131380748825,-4.338773321136628,-0.7919865488784302
2024-01-01,-3.1297567568948397,-1.1279933519316128,3.3450950010787714,-4.345213380133354,-1.001645025908645
2024-04-01,-1.4612806216856336,-0.9717998764715241,5.209918466235675,-3.214572315961267,-2.484826895488517
2024-07-01,2.7198150575025197,-0.6071895320996735,7.782414504345373,-3.5032650836283428,-0.9521448311148368
2024-10-01,-1.4856403679897632,-1.4180341136200842,4.379980094812165,-3.870068548805257,-0.5775178003765871
2025-01-01,-3.549150591574336,-1.1557084250217355,2.9517800106526755,-4.0188439589689136,-1.3263782182363624
2025-04-01,-2.8177348470944774,-1.4293088766493938,4.773477509478594,-2.614556625775481,-3.5473468541481967
