dates,Current account,Excluding fuel,Excluding fuel & gold,Excluding gold
1982-01-01,,,,
1982-02-01,,,,
1982-03-01,,,,
1982-04-01,,,,
1982-05-01,,,,
1982-06-01,,,,
1982-07-01,,,,
1982-08-01,,,,
1982-09-01,,,,
1982-10-01,,,,
1982-11-01,,,,
1982-12-01,,,,
1983-01-01,,,,
1983-02-01,,,,
1983-03-01,,,,
1983-04-01,,,,
1983-05-01,,,,
1983-06-01,,,,
1983-07-01,,,,
1983-08-01,,,,
1983-09-01,,,,
1983-10-01,,,,
1983-11-01,,,,
1983-12-01,,,,
1984-01-01,,,,
1984-02-01,,,,
1984-03-01,,,,
1984-04-01,,,,
1984-05-01,,,,
1984-06-01,,,,
1984-07-01,,,,
1984-08-01,,,,
1984-09-01,,,,
1984-10-01,,,,
1984-11-01,,,,
1984-12-01,-1.439,1.8600219999999998,,
1985-01-01,-1.455,1.9363200000000003,,
1985-02-01,-1.449,1.8470540000000002,,
1985-03-01,-1.596,1.8338219999999998,,
1985-04-01,-1.479,1.8664240000000003,,
1985-05-01,-1.328,2.0567130000000002,,
1985-06-01,-1.117,2.218259,,
1985-07-01,-0.996,2.250745,,
1985-08-01,-0.93,2.447937,,
1985-09-01,-0.815,2.4799029999999997,,
1985-10-01,-0.863,2.5467000000000004,,
1985-11-01,-1.285,2.172019,,
1985-12-01,-1.013,2.335663,,
1986-01-01,-1.272,2.0502710000000004,,
1986-02-01,-1.384,1.992164,,
1986-03-01,-1.475,1.7067860000000001,,
1986-04-01,-1.501,1.5768739999999999,,
1986-05-01,-1.603,1.3462850000000002,,
1986-06-01,-1.718,1.1977849999999999,,
1986-07-01,-1.737,1.001208,,
1986-08-01,-1.871,0.660155,,
1986-09-01,-1.969,0.3848480000000001,,
1986-10-01,-1.817,0.355331,,
1986-11-01,-1.462,0.593898,,
1986-12-01,-1.465,0.5239790000000001,,
1987-01-01,-1.191,0.7485960000000002,,
1987-02-01,-1.316,0.6788310000000002,,
1987-03-01,-1.252,0.840084,,
1987-04-01,-1.257,0.921175,,
1987-05-01,-0.969,1.287963,,
1987-06-01,-0.811,1.493478,,
1987-07-01,-0.926,1.502533,,
1987-08-01,-0.642,1.87556,,
1987-09-01,-0.229,2.3861619999999997,,
1987-10-01,-0.277,2.47359,,
1987-11-01,-0.402,2.474981,,
1987-12-01,-0.806,2.123037,,
1988-01-01,-0.769,2.187549,,
1988-02-01,-0.564,2.322841,,
1988-03-01,-0.72,2.1445490000000005,,
1988-04-01,-0.602,2.2857870000000005,,
1988-05-01,-0.681,2.239409,,
1988-06-01,-0.683,2.208336,,
1988-07-01,-0.077,2.783169,,
1988-08-01,-0.143,2.766654,,
1988-09-01,-0.164,2.687696,,
1988-10-01,0.272,3.0074389999999998,,
1988-11-01,0.757,3.363936,,
1988-12-01,1.596,4.242931,,
1989-01-01,1.616,4.2104159999999995,,
1989-02-01,1.961,4.596417000000001,,
1989-03-01,2.414,5.048562999999999,,
1989-04-01,2.425,5.037258,,
1989-05-01,2.156,4.772113999999999,,
1989-06-01,2.257,4.914914,,
1989-07-01,1.896,4.605476,,
1989-08-01,1.759,4.4246360000000005,,
1989-09-01,1.856,4.607526,,
1989-10-01,1.619,4.4095439999999995,,
1989-11-01,1.193,4.12608,,
1989-12-01,0.961,3.947514,,
1990-01-01,0.934,3.9752509999999996,,
1990-02-01,0.348,3.4465839999999996,,
1990-03-01,-0.346,2.879263,,
1990-04-01,-0.454,2.7732189999999997,,
1990-05-01,-0.66,2.504714,,
1990-06-01,-0.874,2.249809,,
1990-07-01,-1.11,2.038571,,
1990-08-01,-1.539,1.750531,,
1990-09-01,-1.85,1.5769929999999999,,
1990-10-01,-2.329,1.5849289999999998,,
1990-11-01,-2.368,1.84703,,
1990-12-01,-2.625,1.746425,,
1991-01-01,-2.624,1.731226,,
1991-02-01,-2.408,1.9038730000000001,,
1991-03-01,-1.936,2.298451,,
1991-04-01,-1.717,2.547895,,
1991-05-01,-1.324,3.064712,,
1991-06-01,-1.137,3.345266,,
1991-07-01,-0.771,3.666363,,
1991-08-01,-0.176,4.198924,,
1991-09-01,-0.011,4.249069,,
1991-10-01,0.336,4.203319,,
1991-11-01,0.564,4.174390000000001,,
1991-12-01,0.909,4.3784030000000005,,
1992-01-01,1.118,4.599698999999999,,
1992-02-01,1.068,4.54896,,
1992-03-01,0.964,4.40505,,
1992-04-01,0.581,4.080105,,
1992-05-01,0.543,3.954416,,
1992-06-01,0.164,3.6166810000000003,,
1992-07-01,-0.181,3.33907,,
1992-08-01,-0.458,3.1072299999999995,,
1992-09-01,-0.488,3.0785880000000003,,
1992-10-01,-0.254,3.2996469999999998,,
1992-11-01,-0.334,3.202802,,
1992-12-01,-0.974,2.5948640000000003,4.024864,0.456
1993-01-01,-1.167,2.4301619999999997,3.9241620000000004,0.327
1993-02-01,-1.439,2.264212,3.8102120000000004,0.107
1993-03-01,-1.746,2.028256,3.5932560000000002,-0.181
1993-04-01,-2.472,1.2726600000000001,2.8836600000000003,-0.861
1993-05-01,-2.927,0.90208,2.5840800000000006,-1.245
1993-06-01,-3.498,0.34290200000000015,2.047902,-1.793
1993-07-01,-3.77,0.11825400000000014,1.8602540000000003,-2.028
1993-08-01,-4.414,-0.5164599999999998,1.23354,-2.664
1993-09-01,-5.031,-1.158696,0.7533040000000001,-3.119
1993-10-01,-5.304,-1.370758,0.5522420000000001,-3.381
1993-11-01,-5.965,-2.1059779999999995,-0.18197799999999995,-4.041
1993-12-01,-6.433,-2.553589,-0.672589,-4.552
1994-01-01,-6.756,-2.912878,-1.114878,-4.958
1994-02-01,-6.653,-2.91464,-1.1816399999999998,-4.92
1994-03-01,-6.634,-2.889347,-1.240347,-4.985
1994-04-01,-5.335,-1.59892,-0.08792000000000007,-3.824
1994-05-01,-4.262,-0.6175949999999997,0.770405,-2.874
1994-06-01,-2.882,0.6295220000000001,1.855522,-1.656
1994-07-01,-1.586,1.908794,2.9347939999999997,-0.56
1994-08-01,-0.467,2.967505,3.808505,0.374
1994-09-01,0.712,4.256774,4.847773999999999,1.303
1994-10-01,1.054,4.597668,5.143668,1.6
1994-11-01,1.644,5.293051,5.802051,2.153
1994-12-01,2.631,6.242905,6.722905,3.111
1995-01-01,3.661,7.3501,7.8050999999999995,4.116
1995-02-01,3.889,7.676327000000001,8.124327000000001,4.337
1995-03-01,4.192,7.962747,8.462747000000002,4.692
1995-04-01,3.66,7.542123,8.049123,4.167
1995-05-01,2.818,6.771940000000001,7.37494,3.421
1995-06-01,2.341,6.432693,7.158693,3.067
1995-07-01,1.537,5.708042000000001,6.6170420000000005,2.446
1995-08-01,0.859,5.074206,6.165206,1.95
1995-09-01,0.352,4.626499,5.789499,1.515
1995-10-01,-0.006,4.273497,5.473497,1.194
1995-11-01,-0.757,3.5467869999999997,4.790787,0.487
1995-12-01,-2.339,2.04199,3.3639900000000007,-1.017
1996-01-01,-2.638,1.6916300000000002,3.05063,-1.279
1996-02-01,-2.544,1.9399690000000003,3.362969,-1.121
1996-03-01,-3.196,1.3566770000000004,2.8436769999999996,-1.709
1996-04-01,-3.512,1.1070010000000001,2.694001,-1.925
1996-05-01,-4.079,0.6782490000000002,2.275249,-2.482
1996-06-01,-4.183,0.6270480000000003,2.192048,-2.618
1996-07-01,-4.645,0.14860600000000035,1.7286060000000003,-3.065
1996-08-01,-4.083,0.8765900000000004,2.4285900000000002,-2.531
1996-09-01,-3.738,1.2721510000000003,2.892151,-2.118
1996-10-01,-3.365,1.8541590000000003,3.5231590000000006,-1.696
1996-11-01,-3.053,2.3296740000000002,4.0416739999999995,-1.341
1996-12-01,-2.437,3.3323470000000004,5.004347,-0.765
1997-01-01,-3.137,3.002434,4.712434,-1.427
1997-02-01,-3.644,2.465074,4.197074000000001,-1.912
1997-03-01,-3.256,3.02423,4.74923,-1.531
1997-04-01,-3.1,3.168149,4.936149,-1.332
1997-05-01,-2.852,3.4509980000000002,5.284998,-1.018
1997-06-01,-2.858,3.4918050000000003,5.3808050000000005,-0.969
1997-07-01,-2.373,3.99863,5.90763,-0.464
1997-08-01,-2.355,3.974609,5.874609,-0.455
1997-09-01,-2.38,4.002680000000001,5.79668,-0.586
1997-10-01,-2.725,3.597958,5.434958000000001,-0.888
1997-11-01,-2.715,3.604733,5.449733,-0.87
1997-12-01,-2.638,3.4308389999999997,5.297839,-0.771
1998-01-01,-1.914,3.930768,5.760768,-0.084
1998-02-01,-2.357,3.4570309999999997,5.338031,-0.476
1998-03-01,-2.424,3.3091310000000003,5.141131000000001,-0.592
1998-04-01,-2.538,3.055041,4.8590409999999995,-0.734
1998-05-01,-1.953,3.5062159999999998,5.297216000000001,-0.162
1998-06-01,-1.651,3.7039459999999997,5.495946,0.141
1998-07-01,-2.101,3.130725,4.936724999999999,-0.295
1998-08-01,-1.685,3.478951,5.280951,0.117
1998-09-01,-1.085,3.859872,5.691871999999999,0.747
1998-10-01,-0.025,4.772289,6.584289,1.787
1998-11-01,1.07,5.567401,7.325401,2.828
1998-12-01,2.0,6.314852999999999,8.075852999999999,3.761
1999-01-01,2.536,6.7192240000000005,8.458224,4.275
1999-02-01,3.594,7.668519999999999,9.31352,5.239
1999-03-01,4.399,8.276214,9.920214,6.043
1999-04-01,4.138,8.045148000000001,9.653148,5.746
1999-05-01,4.048,7.932078,9.476078,5.592
1999-06-01,3.368,7.308984,8.812983999999998,4.872
1999-07-01,3.745,7.837210999999999,9.222211,5.13
1999-08-01,3.326,7.443303,8.696303,4.579
1999-09-01,2.108,6.406155,7.640155,3.342
1999-10-01,1.397,5.818328999999999,6.956328999999999,2.535
1999-11-01,0.285,5.033191999999999,6.167192000000001,1.419
1999-12-01,-0.925,4.172765,5.251765000000001,0.154
2000-01-01,-1.936,3.429111,4.570111,-0.795
2000-02-01,-3.204,2.5087759999999997,3.7527760000000003,-1.96
2000-03-01,-4.591,1.5357740000000002,2.913774,-3.213
2000-04-01,-4.759,1.7732630000000003,3.188263,-3.344
2000-05-01,-5.724,1.0619680000000002,2.551968,-4.234
2000-06-01,-6.572,0.6596770000000003,2.185677,-5.046
2000-07-01,-6.897,0.6166220000000003,2.212622,-5.301
2000-08-01,-8.024,-0.08629599999999976,1.5737040000000002,-6.364
2000-09-01,-8.16,0.08451900000000023,1.798519,-6.446
2000-10-01,-9.219,-0.4413699999999999,1.35863,-7.419
2000-11-01,-10.215,-0.981837,0.904163,-8.329
2000-12-01,-9.92,-0.423639,1.476361,-8.02
2001-01-01,-10.502,-0.8159709999999999,1.072029,-8.614
2001-02-01,-9.5,0.32782500000000003,2.1228249999999997,-7.705
2001-03-01,-8.19,1.717759,3.317759,-6.59
2001-04-01,-6.613,3.112134,4.603134,-5.122
2001-05-01,-5.137,4.65735,6.00035,-3.794
2001-06-01,-3.497,6.027702000000001,7.258702,-2.266
2001-07-01,-2.655,6.793417,7.897416999999999,-1.551
2001-08-01,-1.056,8.181628,9.182628,-0.055
2001-09-01,-0.071,9.07517,10.07217,0.926
2001-10-01,1.284,10.050371,11.065371,2.299
2001-11-01,3.114,11.491670999999998,12.444670999999998,4.067
2001-12-01,3.76,11.797341999999999,12.760341999999998,4.723
2002-01-01,4.489,12.528808999999999,13.508809,5.469
2002-02-01,4.225,12.062565000000001,13.044565,5.207
2002-03-01,3.87,11.63031,12.718309999999999,4.958
2002-04-01,2.621,10.356876999999999,11.548877,3.813
2002-05-01,1.96,9.641071,10.904071,3.223
2002-06-01,1.83,9.52932,10.833320000000002,3.134
2002-07-01,1.442,9.188445000000002,10.576445,2.83
2002-08-01,1.105,8.984786,10.437786000000001,2.558
2002-09-01,0.982,8.892349999999999,10.288350000000001,2.378
2002-10-01,0.857,9.007776,10.409775999999999,2.259
2002-11-01,0.482,8.775286,10.123286,1.83
2002-12-01,-0.626,7.907493,9.262493000000001,0.729
2003-01-01,-0.901,7.788625,9.145625,0.456
2003-02-01,-1.967,6.837689,8.320689,-0.484
2003-03-01,-3.247,5.889412,7.498412,-1.638
2003-04-01,-3.617,5.793666,7.438666000000001,-1.972
2003-05-01,-4.09,5.496001000000001,7.220001,-2.366
2003-06-01,-5.067,4.669988,6.581988,-3.155
2003-07-01,-5.468,4.381719,6.480719000000001,-3.369
2003-08-01,-5.09,4.919391000000001,7.164390999999999,-2.845
2003-09-01,-5.015,5.213699,7.594699,-2.634
2003-10-01,-5.452,4.875363,7.3123629999999995,-3.015
2003-11-01,-5.79,4.631476,7.081475999999999,-3.34
2003-12-01,-7.554,2.992537,5.514537000000001,-5.032
2004-01-01,-8.229,2.4284559999999997,5.057456,-5.6
2004-02-01,-9.108,1.7504840000000002,4.468484,-6.39
2004-03-01,-9.921,0.7677350000000002,3.5127349999999997,-7.176
2004-04-01,-10.646,0.07383399999999994,3.019834,-7.7
2004-05-01,-11.124,-0.26479200000000014,2.7332079999999994,-8.126
2004-06-01,-11.657,-0.7119890000000002,2.2440109999999995,-8.701
2004-07-01,-11.89,-0.71304,2.33096,-8.846
2004-08-01,-12.583,-1.1384920000000003,1.8765079999999996,-9.568
2004-09-01,-13.005,-1.34898,1.7280199999999997,-9.928
2004-10-01,-13.035,-1.046125,1.9878749999999998,-10.001
2004-11-01,-14.441,-2.149241,1.0327589999999998,-11.259
2004-12-01,-14.198,-1.4222270000000001,1.9847729999999997,-10.791
2005-01-01,-14.698,-1.941812,1.6171879999999996,-11.139
2005-02-01,-14.706,-1.8344730000000005,1.843526999999999,-11.028
2005-03-01,-14.728,-1.3324490000000002,2.4615509999999996,-10.934
2005-04-01,-15.4,-1.5677000000000003,2.183299999999999,-11.649
2005-05-01,-16.287,-1.887569,1.9644309999999998,-12.435
2005-06-01,-16.899,-1.9569070000000002,1.990093,-12.952
2005-07-01,-17.158,-1.6373080000000004,2.3376919999999997,-13.183
2005-08-01,-18.248,-2.234611,1.8303889999999996,-14.183
2005-09-01,-18.559,-2.1061280000000004,1.9268719999999995,-14.526
2005-10-01,-19.272,-2.313030000000001,1.6569699999999996,-15.302
2005-11-01,-19.969,-2.382582,1.5394179999999997,-16.047
2005-12-01,-20.98,-3.025758,0.7282419999999997,-17.226
2006-01-01,-21.971,-3.550079,0.01692099999999982,-18.404
2006-02-01,-22.892,-3.650043,-0.32304300000000014,-19.565
2006-03-01,-23.714,-3.935105,-0.7951050000000003,-20.574
2006-04-01,-25.123,-4.415562,-1.3135620000000006,-22.021
2006-05-01,-27.087,-5.917460000000001,-2.423460000000001,-23.593
2006-06-01,-27.834,-5.975844000000001,-2.734844000000001,-24.593
2006-07-01,-28.66,-6.363803000000001,-3.511803000000001,-25.808
