dates,Total NPL,Consumer loan NPL,SME loan NPL
2002-12-01,17.52,2.4787962901768994,
2003-01-01,17.03,3.5330027021683255,
2003-02-01,15.98,3.5197762521415923,
2003-03-01,15.24,5.19876316161759,
2003-04-01,15.63,5.742637052974683,
2003-05-01,15.92,3.102315304063791,
2003-06-01,15.27,3.439079615258267,
2003-07-01,15.03,2.7268205430582686,
2003-08-01,14.98,2.6195042088286313,
2003-09-01,13.78,2.778855062159309,
2003-10-01,12.94,2.0612419799411668,
2003-11-01,12.53,1.6353005475750986,
2003-12-01,11.5,1.5175104639580512,
2004-01-01,11.56,1.0282261818317229,
2004-02-01,11.22,1.106893176530728,
2004-03-01,10.21,0.8865996044965159,
2004-04-01,9.49,0.8738107077921864,
2004-05-01,8.79,0.7615367017291674,
2004-06-01,6.29,0.8060174203165115,
2004-07-01,6.39,0.7527734479929391,
2004-08-01,6.16,0.7379650420613727,
2004-09-01,6.08,0.7055102785549203,
2004-10-01,5.95,0.6893945307518652,
2004-11-01,5.8,0.840588049181801,
2004-12-01,6.0,0.7432991233528407,
2005-01-01,6.04,0.7464163747462207,
2005-02-01,5.93,0.7074633813687017,
2005-03-01,5.83,0.6818788575496735,
2005-04-01,5.72,0.6547891141662049,
2005-05-01,5.55,0.6449426851242772,
2005-06-01,5.43,0.6552111377556775,
2005-07-01,5.42,0.6453702542111925,
2005-08-01,5.24,0.6418164860257936,
2005-09-01,5.23,0.6956843697552682,
2005-10-01,5.05,0.690151124439386,
2005-11-01,4.97,0.6952098997013172,
2005-12-01,4.72,0.6947539789528614,
2006-01-01,4.72,0.7089139701278253,
2006-02-01,4.61,0.7416291890902637,
2006-03-01,4.44,0.75017461354533,
2006-04-01,4.34,0.717606879809077,
2006-05-01,3.98,0.6714668376600879,
2006-06-01,3.74,0.6704729106496465,
2006-07-01,3.78,0.681733758325291,
2006-08-01,3.81,0.7168300886977321,
2006-09-01,3.74,0.7487836043360737,
2006-10-01,3.74,0.783003777385826,
2006-11-01,3.78,0.8306785402086065,
2006-12-01,3.74,0.8554235188780619,3.623436500075067
2007-01-01,3.8,0.8970364793591904,3.6946863361620026
2007-02-01,3.8,1.0371792556778607,3.7759294749577297
2007-03-01,3.72,1.0755501379990386,3.802253399892824
2007-04-01,3.75,1.1099851599115405,3.8013717766593342
2007-05-01,3.71,1.1760242721073555,3.898845169685708
2007-06-01,3.66,1.1775385522376913,3.8644847465322876
2007-07-01,3.64,1.2193326499953598,3.900263688649602
2007-08-01,3.62,1.2521362302628516,3.96419009560572
2007-09-01,3.61,1.2924582981943569,3.954878802725542
2007-10-01,3.58,1.336383883158194,4.124111620120406
2007-11-01,3.54,1.4082864149453054,4.2121867925089305
2007-12-01,3.48,1.4600350179050023,3.754089097100178
2008-01-01,3.48,1.5354885016212894,3.689087993290007
2008-02-01,3.38,1.5589987404683572,3.8664650468464274
2008-03-01,3.04,1.5836444807842438,3.911464000675916
2008-04-01,3.06,1.6168207412365132,3.841047922443552
2008-05-01,3.1,1.6530976849302526,4.005043667104374
2008-06-01,3.06,1.7472747689798316,3.9543857475064335
2008-07-01,3.13,1.7831358548319436,4.144990983498678
2008-08-01,3.2,1.8643916211029088,4.314137779797988
2008-09-01,3.11,1.8569212331415714,4.376790327652277
2008-10-01,3.18,2.000940298335714,4.615076575193158
2008-11-01,3.37,2.182458258134807,4.921050375400719
2008-12-01,3.68,2.494195678653145,5.035025307152547
2009-01-01,3.92,2.7178919923144544,5.543765662629662
2009-02-01,4.17,2.9706785851396713,5.87035033884614
2009-03-01,4.46,3.290564129404523,6.385227604279165
2009-04-01,4.68,3.4361703029606097,6.616195054333722
2009-05-01,4.8,3.6066637998538162,6.756652780096677
2009-06-01,4.85,3.73010086649155,7.02876244108
2009-07-01,5.07,3.930618259423109,7.407515441624174
2009-08-01,5.24,4.155081860554919,7.747530699152886
2009-09-01,5.33,4.324873789445243,8.198052544192812
2009-10-01,5.41,4.375037485688049,8.500754161368066
2009-11-01,5.37,4.344716680736746,8.48699388967365
2009-12-01,5.27,4.3288291048783405,8.277023537950809
2010-01-01,5.23,4.26724867804481,7.984018469495961
2010-02-01,5.09,4.1372079188767215,7.766999280790533
2010-03-01,4.89,3.8771926721811143,7.301913535155059
2010-04-01,4.83,3.7546366646263505,7.053719730627704
2010-05-01,4.65,3.6425418261384968,6.749521500467411
2010-06-01,4.41,3.60397775629304,6.188111305736558
2010-07-01,4.4,3.5511926146674493,6.085992706386672
2010-08-01,4.35,3.4872751019523744,5.929891811459716
2010-09-01,4.25,3.310215336269296,5.771546184134438
2010-10-01,4.16,3.1780800867201173,5.572953517370349
2010-11-01,3.92,2.9504254778680306,5.248912067014339
2010-12-01,3.66,2.8194571403439497,4.696129580348869
2011-01-01,3.58,2.76049873357921,4.355323647854489
2011-02-01,3.39,2.5298985111423313,4.118341754081752
2011-03-01,3.24,2.3802794782779797,3.9645456460215627
2011-04-01,3.18,2.2902724178611407,3.925408753730168
2011-05-01,3.04,2.116560498801765,3.7639727630296194
2011-06-01,2.92,2.0727256947711243,3.549777318361231
2011-07-01,2.91,2.056821632576387,3.498842628510949
2011-08-01,2.82,2.041890268990466,3.3362168463541866
2011-09-01,2.71,1.9662919797500862,3.149007229124812
2011-10-01,2.73,1.9369171516804424,3.1694865843216387
2011-11-01,2.69,1.9350563621546288,3.191667990429197
2011-12-01,2.7,1.9031747706689783,3.2023030557884034
2012-01-01,2.77,1.9609562173644053,3.248796719081615
2012-02-01,2.78,1.9865838652970278,3.2996608746923797
2012-03-01,2.74,1.9860876986717906,3.2347731403256006
2012-04-01,2.73,2.0431190515123254,3.300831471225673
2012-05-01,2.7,2.0503535354879245,3.2851635694912553
2012-06-01,2.66,2.039696130893061,3.1475027094334402
2012-07-01,2.72,2.0823925983888305,3.212781239118762
2012-08-01,2.79,2.1412315964872914,3.3108620717177986
2012-09-01,2.95,2.1974022794573767,3.5120403005235223
2012-10-01,2.96,2.20244559231802,3.5668133508145505
2012-11-01,2.97,2.2090531157371016,3.4834855339286883
2012-12-01,2.86,2.177053687397548,3.2727155121421463
2013-01-01,2.94,2.2282973484135,3.309712028212046
2013-02-01,2.95,2.2265492841259342,3.346707779626739
2013-03-01,2.97,2.174987941351382,3.1906347707744906
2013-04-01,3.0,2.16960538826823,3.213346412418572
2013-05-01,2.9,2.1093922721963354,3.1684989983715535
2013-06-01,2.76,2.0034205734331825,3.0593128468370234
2013-07-01,2.76,1.9972017561224178,3.095522779108038
2013-08-01,2.76,2.0211332715470762,3.177804098858461
2013-09-01,2.74,2.029006153777557,3.1603371427065134
2013-10-01,2.79,2.067145878934066,3.190549744743735
2013-11-01,2.77,2.0772611640842147,3.093753451449084
2013-12-01,2.75,2.04549113609761,3.220263104927883
2014-01-01,2.73,2.0689899843767536,3.2536979564270254
2014-02-01,2.78,2.1016392476751613,3.257491516922963
2014-03-01,2.81,2.3090794935711525,3.20896196198136
