dates,On balance sheet,Off balance sheet,Net position
2003-05-01,0.901,0.03,0.931
2003-06-01,0.389,0.114,0.503
2003-07-01,0.176,0.101,0.277
2003-08-01,0.436,-0.173,0.263
2003-09-01,-0.252,0.142,-0.11000000000000001
2003-10-01,0.079,0.164,0.243
2003-11-01,-0.145,0.389,0.24400000000000002
2003-12-01,-0.471,0.533,0.062000000000000055
2004-01-01,-0.093,-0.046,-0.139
2004-02-01,-0.913,0.354,-0.559
2004-03-01,-1.137,0.727,-0.41000000000000003
2004-04-01,-0.655,0.261,-0.394
2004-05-01,-0.496,0.991,0.495
2004-06-01,-1.789,1.533,-0.256
2004-07-01,-0.437,0.555,0.11800000000000005
2004-08-01,-0.055,0.249,0.194
2004-09-01,-0.066,0.24,0.174
2004-10-01,-1.054,1.105,0.050999999999999934
2004-11-01,-0.959,1.226,0.267
2004-12-01,-1.39,1.318,-0.07199999999999984
2005-01-01,-0.603,0.435,-0.16799999999999998
2005-02-01,0.492,-0.312,0.18
2005-03-01,-1.496,0.696,-0.8
2005-04-01,-1.345,0.949,-0.396
2005-05-01,-1.411,0.551,-0.86
2005-06-01,-1.21,0.867,-0.34299999999999997
2005-07-01,-1.703,1.405,-0.29800000000000004
2005-08-01,-1.362,1.053,-0.30900000000000016
2005-09-01,-1.754,1.467,-0.2869999999999999
2005-10-01,-1.83,1.73,-0.10000000000000009
2005-11-01,-2.242,2.273,0.03100000000000014
2005-12-01,-2.074,2.37,0.29600000000000026
2006-01-01,-2.683,3.051,0.3680000000000003
2006-02-01,-5.907,5.318,-0.5890000000000004
2006-03-01,-4.987,4.359,-0.6280000000000001
2006-04-01,-9.251,8.586,-0.6649999999999991
2006-05-01,-6.445,6.374,-0.07100000000000062
2006-06-01,-5.751,5.395,-0.35600000000000076
2006-07-01,-7.971,8.159,0.1880000000000006
2006-08-01,-6.986,7.109,0.12300000000000022
2006-09-01,-6.202,6.333,0.13100000000000023
2006-10-01,-6.855,7.276,0.4209999999999994
2006-11-01,-5.588,5.452,-0.13600000000000012
2006-12-01,-6.369,6.125,-0.24399999999999977
2007-01-01,-6.404,6.23,-0.1739999999999995
2007-02-01,-5.777,5.725,-0.05200000000000049
2007-03-01,-7.335,6.189,-1.146
2007-04-01,-7.084,6.044,-1.04
2007-05-01,-7.36,6.359,-1.0010000000000003
2007-06-01,-7.718,7.096,-0.6219999999999999
2007-07-01,-8.214,7.515,-0.6990000000000007
2007-08-01,-6.682,6.381,-0.30100000000000016
2007-09-01,-7.655,7.728,0.07299999999999951
2007-10-01,-9.652,9.764,0.1120000000000001
2007-11-01,-9.265,9.421,0.1559999999999988
2007-12-01,-9.943,9.891,-0.0519999999999996
2008-01-01,-8.403,8.56,0.15700000000000003
2008-02-01,-7.26,7.162,-0.09799999999999986
2008-03-01,-5.582,6.602,1.0200000000000005
2008-04-01,-10.9,11.441,0.5410000000000004
2008-05-01,-12.8,12.888,0.08799999999999919
2008-06-01,-13.287,13.109,-0.17800000000000082
2008-07-01,-13.806,13.245,-0.5609999999999999
2008-08-01,-12.722,11.623,-1.0990000000000002
2008-09-01,-8.536,7.813,-0.7229999999999999
2008-10-01,-3.601,3.128,-0.47299999999999986
2008-11-01,-1.763,1.602,-0.1609999999999998
2008-12-01,-3.029,3.029,0.0
2009-01-01,-1.016,0.682,-0.33399999999999996
2009-02-01,0.275,-0.516,-0.241
2009-03-01,-3.323,3.716,0.39300000000000024
2009-04-01,-4.655,4.988,0.3330000000000002
2009-05-01,-6.307,7.288,0.9809999999999999
2009-06-01,-7.868,8.71,0.8420000000000005
2009-07-01,-9.595,10.225,0.629999999999999
2009-08-01,-9.088,9.959,0.8710000000000004
2009-09-01,-11.842,11.881,0.0389999999999997
