dates,Payables to banks abroad,Share of FX loans to NFCs
2007-01-01,41.748,
2007-02-01,41.943,
2007-03-01,41.993,
2007-04-01,40.83,
2007-05-01,50.805,
2007-06-01,49.853,
2007-07-01,45.28,
2007-08-01,46.206,
2007-09-01,47.488,
2007-10-01,49.239,
2007-11-01,50.457,
2007-12-01,50.895,
2008-01-01,48.628,
2008-02-01,52.022,
2008-03-01,53.509,
2008-04-01,55.472,
2008-05-01,56.336,
2008-06-01,57.213,
2008-07-01,57.435,
2008-08-01,58.076,
2008-09-01,58.784,
2008-10-01,56.12,
2008-11-01,54.414,
2008-12-01,53.284,
2009-01-01,50.47,
2009-02-01,48.799,
2009-03-01,49.209,
2009-04-01,48.056,
2009-05-01,50.105,
2009-06-01,49.066,
2009-07-01,48.466,
2009-08-01,48.293,
2009-09-01,48.439,
2009-10-01,48.987,
2009-11-01,48.949,
2009-12-01,48.193,
2010-01-01,47.162,
2010-02-01,47.021,
2010-03-01,49.845,
2010-04-01,51.271,
2010-05-01,50.038,
2010-06-01,51.55,
2010-07-01,53.298,
2010-08-01,52.079,
2010-09-01,55.602,
2010-10-01,60.23,
2010-11-01,61.459,
2010-12-01,62.918,
2011-01-01,64.147,
2011-02-01,64.267,
2011-03-01,66.812,
2011-04-01,70.044,
2011-05-01,72.733,
2011-06-01,73.673,
2011-07-01,73.112,
2011-08-01,72.057,
2011-09-01,70.6,
2011-10-01,73.802,
2011-11-01,73.661,
2011-12-01,70.995,
2012-01-01,71.988,
2012-02-01,72.683,
2012-03-01,71.21,
2012-04-01,74.464,
2012-05-01,72.701,
2012-06-01,74.108,
2012-07-01,73.446,
2012-08-01,75.753,
2012-09-01,73.507,
2012-10-01,74.247,
2012-11-01,75.958,
2012-12-01,78.911,
2013-01-01,81.154,
2013-02-01,82.179,
2013-03-01,86.969,
2013-04-01,86.855,
2013-05-01,87.32,
2013-06-01,89.798,
2013-07-01,90.825,
2013-08-01,90.816,
2013-09-01,92.636,
2013-10-01,92.714,
2013-11-01,97.628,
2013-12-01,98.739,
2014-01-01,97.583,
2014-02-01,100.173,
2014-03-01,100.063,
2014-04-01,102.58,
2014-05-01,102.757,
2014-06-01,100.788,
2014-07-01,100.542,
2014-08-01,100.992,
2014-09-01,102.777,
2014-10-01,104.082,
2014-11-01,103.917,
2014-12-01,104.666,
2015-01-01,103.687,
2015-02-01,101.791,
2015-03-01,104.439,
2015-04-01,104.779,
2015-05-01,106.103,
2015-06-01,105.545,
2015-07-01,106.733,
2015-08-01,106.352,
2015-09-01,106.201,
2015-10-01,105.49,
2015-11-01,105.632,
2015-12-01,105.118,
2016-01-01,105.798,
2016-02-01,104.777,
2016-03-01,104.983,
2016-04-01,105.132,
2016-05-01,104.412,
2016-06-01,106.353,
2016-07-01,105.034,
2016-08-01,104.125,
2016-09-01,103.141,
2016-10-01,104.859,
2016-11-01,101.122,
2016-12-01,100.89,
2017-01-01,101.913,
2017-02-01,100.497,
2017-03-01,100.678,
2017-04-01,102.687,
2017-05-01,102.022,
2017-06-01,103.836,
2017-07-01,104.387,
2017-08-01,103.67,
2017-09-01,105.78,
2017-10-01,106.735,
2017-11-01,107.806,
2017-12-01,111.034,
2018-01-01,112.39,
2018-02-01,113.226,
2018-03-01,111.018,
2018-04-01,111.533,
2018-05-01,110.142,
2018-06-01,110.99,
2018-07-01,108.307,
2018-08-01,120.924,
2018-09-01,113.491,
2018-10-01,112.669,
2018-11-01,110.048,
2018-12-01,105.206,
2019-01-01,102.919,
2019-02-01,104.538,
2019-03-01,100.375,
2019-04-01,101.572,
2019-05-01,100.169,
2019-06-01,98.453,
2019-07-01,97.723,
2019-08-01,95.368,
2019-09-01,93.828,
2019-10-01,91.484,
2019-11-01,90.345,
2019-12-01,89.224,
2020-01-01,89.1,
2020-02-01,87.6,
2020-03-01,84.639,
2020-04-01,84.296,
2020-05-01,86.487,
2020-06-01,83.695,
2020-07-01,85.208,
2020-08-01,85.775,
2020-09-01,85.639,
2020-10-01,83.907,
2020-11-01,85.985,
2020-12-01,87.322,
2021-01-01,87.535,
2021-02-01,86.105,
2021-03-01,85.297,
2021-04-01,85.377,
2021-05-01,84.709,
2021-06-01,82.754,
2021-07-01,82.887,
2021-08-01,82.798,
2021-09-01,80.924,
2021-10-01,80.783,
2021-11-01,79.878,
2021-12-01,80.151,
2022-01-01,80.942,
2022-02-01,78.57,
2022-03-01,77.834,
2022-04-01,77.455,
2022-05-01,77.835,
2022-06-01,78.092,
2022-07-01,77.136,
2022-08-01,76.427,
2022-09-01,76.077,
2022-10-01,74.117,
2022-11-01,73.004,
2022-12-01,72.456,
2023-01-01,73.48,
2023-02-01,73.954,
2023-03-01,74.138,
2023-04-01,74.545,
2023-05-01,73.604,
2023-06-01,74.361,
2023-07-01,74.088,
2023-08-01,74.952,
2023-09-01,75.369,
2023-10-01,77.493,
2023-11-01,78.578,
2023-12-01,78.642,
2024-01-01,78.61,
2024-02-01,79.239,
2024-03-01,82.981,
2024-04-01,83.98,
2024-05-01,85.753,
2024-06-01,91.301,43.76070394840071
2024-07-01,91.931,44.58119208488869
2024-08-01,90.527,45.55832725155237
2024-09-01,93.824,45.354972683123265
2024-10-01,95.897,45.40473588830437
2024-11-01,96.857,45.98518212403156
2024-12-01,97.847,46.13296781468833
2025-01-01,103.177,46.80292156898178
2025-02-01,101.926,46.9322677798002
2025-03-01,106.8,47.82073946936955
2025-04-01,103.064,48.00609448837891
2025-05-01,106.512,48.17176126324837
2025-06-01,111.43,48.31396811637722
2025-07-01,111.334,48.130350949397524
2025-08-01,115.675,48.36869605578424
2025-09-01,117.37,47.93829455340695
2025-10-01,119.531,47.33461315245676
2025-11-01,117.399,47.379403585448046
