dates,GDP,C,G,I,Inventories,X,M
1947-04-01,-1.0,4.3,0.04,-1.47,-3.25,-0.42,-0.26
1947-07-01,-0.8,0.94,0.23,2.02,-3.85,-1.68,1.52
1947-10-01,6.4,0.25,-0.29,5.32,5.38,-3.53,-0.7
1948-01-01,6.2,1.51,1.36,2.31,3.96,-1.32,-1.67
1948-04-01,6.8,3.12,2.34,0.13,4.19,-2.37,-0.63
1948-07-01,2.3,0.37,1.36,-0.54,1.46,0.49,-0.81
1948-10-01,0.5,1.83,2.26,-0.74,-2.3,-0.79,0.2
1949-01-01,-5.4,0.17,1.5,-3.65,-6.26,2.45,0.4
1949-04-01,-1.4,3.57,2.92,-1.88,-5.98,-0.16,0.18
1949-07-01,4.2,0.15,0.39,-0.02,5.01,-1.87,0.55
1949-10-01,-3.3,3.28,-1.21,2.32,-4.83,-2.67,-0.19
1950-01-01,16.7,4.03,-0.9,4.24,9.87,-0.21,-0.36
1950-04-01,12.7,4.02,1.63,5.95,1.66,0.23,-0.72
1950-07-01,16.4,13.41,-0.69,5.06,1.37,0.44,-3.21
1950-10-01,7.9,-7.72,4.72,-1.42,11.05,1.29,-0.04
1951-01-01,5.5,6.32,7.31,-2.56,-6.33,0.82,-0.02
1951-04-01,7.1,-6.88,10.01,-2.91,4.57,1.78,0.55
1951-07-01,8.5,2.88,9.23,-0.84,-4.74,0.5,1.46
1951-10-01,0.9,1.31,4.83,-0.37,-5.04,-0.17,0.32
1952-01-01,4.3,0.35,3.03,1.06,0.66,1.14,-1.9
1952-04-01,0.8,4.47,3.33,1.12,-5.83,-2.19,-0.03
1952-07-01,2.9,1.05,1.01,-3.16,6.42,-1.36,-1.05
1952-10-01,13.8,8.59,1.82,4.48,0.19,0.2,-1.48
1953-01-01,7.7,2.81,3.24,2.41,-1.05,-0.18,0.42
1953-04-01,3.1,1.32,2.11,0.49,-0.08,0.15,-0.85
1953-07-01,-2.2,-0.72,-0.98,0.16,-1.36,0.65,0.03
1953-10-01,-5.9,-1.78,-0.14,-0.44,-3.81,-0.53,0.77
1954-01-01,-1.9,0.66,-2.52,-0.74,0.58,-0.73,0.86
1954-04-01,0.4,2.96,-3.25,1.04,-0.98,2.12,-1.45
1954-07-01,4.6,3.18,-1.96,2.41,0.61,-0.58,0.94
1954-10-01,8.1,5.09,-0.42,1.48,1.42,0.71,-0.22
1955-01-01,11.9,5.55,0.34,2.54,3.88,0.57,-0.95
1955-04-01,6.7,4.63,-0.66,2.66,1.42,-0.43,-0.94
1955-07-01,5.5,2.96,0.79,1.46,-0.39,1.04,-0.33
1955-10-01,2.4,3.07,-1.63,0.21,1.33,0.05,-0.61
1956-01-01,-1.5,0.37,0.13,-1.22,-0.9,0.8,-0.73
1956-04-01,3.3,0.78,1.89,0.59,-1.17,1.21,0.05
1956-07-01,-0.3,0.51,-0.68,-0.04,-0.57,0.62,-0.2
1956-10-01,6.8,3.35,2.3,-0.33,-0.21,0.88,0.75
1957-01-01,2.6,1.65,1.9,-0.06,-0.9,1.31,-1.33
1957-04-01,-0.9,0.41,-0.42,-0.55,0.49,-0.62,-0.18
1957-07-01,4.0,1.94,0.86,0.68,0.75,-0.56,0.3
1957-10-01,-4.1,0.13,1.59,-1.02,-4.17,-0.55,-0.06
1958-01-01,-10.0,-3.25,-0.57,-3.4,-0.72,-1.83,-0.22
1958-04-01,2.7,2.13,2.4,-1.47,0.23,0.12,-0.75
1958-07-01,9.6,4.27,0.62,0.91,3.51,0.1,0.18
1958-10-01,9.7,3.51,1.9,3.41,1.84,-0.01,-0.97
1959-01-01,7.9,4.59,-1.15,3.46,0.36,1.23,-0.6
1959-04-01,9.3,3.92,1.08,1.9,3.43,-0.09,-0.92
1959-07-01,0.3,2.6,0.7,0.65,-5.08,1.63,-0.22
1959-10-01,1.1,0.32,-0.77,-0.72,2.77,-0.9,0.44
1960-01-01,9.3,2.39,-1.44,2.15,4.48,2.3,-0.58
1960-04-01,-2.1,3.05,0.96,-1.1,-5.51,0.55,-0.09
1960-07-01,2.0,-0.97,2.15,-1.3,1.13,0.43,0.53
1960-10-01,-5.0,0.34,0.64,-0.09,-6.83,0.11,0.8
1961-01-01,2.7,-0.07,1.35,-0.5,2.02,-0.14,0.07
1961-04-01,7.0,3.69,0.25,0.99,3.17,-0.94,-0.2
1961-07-01,7.9,1.23,1.98,1.43,3.42,0.87,-1.04
1961-10-01,8.1,4.9,2.03,1.89,-0.67,0.32,-0.39
1962-01-01,7.3,2.58,1.8,1.14,2.42,-0.12,-0.49
1962-04-01,3.7,2.95,0.46,1.68,-2.15,1.09,-0.36
1962-07-01,5.0,1.96,2.15,0.49,0.66,-0.03,-0.21
1962-10-01,1.3,3.39,0.66,-0.19,-1.71,-0.62,-0.2
1963-01-01,4.4,1.71,-1.23,0.79,2.49,0.29,0.39
1963-04-01,4.6,2.29,0.09,2.66,-1.61,1.51,-0.38
1963-07-01,9.1,3.32,4.12,1.54,0.61,-0.09,-0.41
1963-10-01,2.6,1.99,-0.98,1.83,-1.0,0.76,0.06
1964-01-01,8.7,4.75,0.31,2.17,0.43,1.01,0.03
1964-04-01,4.4,4.24,0.81,-0.11,-0.07,-0.08,-0.36
1964-07-01,6.4,4.48,0.13,1.04,0.54,0.63,-0.43
1964-10-01,1.2,0.7,-0.03,0.56,0.03,0.41,-0.44
1965-01-01,10.0,5.47,-0.02,2.92,3.46,-2.42,0.63
1965-04-01,5.2,2.68,1.07,1.83,-1.67,3.08,-1.85
1965-07-01,9.2,4.2,2.99,1.79,0.74,-0.46,-0.06
1965-10-01,9.5,6.78,1.74,1.52,-0.92,1.24,-0.82
1966-01-01,10.1,3.59,1.74,2.43,3.29,-0.51,-0.44
1966-04-01,1.4,0.6,1.67,-0.67,-0.38,0.59,-0.43
1966-07-01,3.4,2.7,2.47,0.07,-0.57,-0.24,-0.99
1966-10-01,3.3,0.99,1.6,-1.69,2.11,0.5,-0.19
1967-01-01,3.6,1.37,3.96,-1.15,-0.58,0.25,-0.26
1967-04-01,0.2,3.21,-0.4,1.51,-3.96,-0.28,0.17
1967-07-01,3.8,1.23,1.09,0.75,1.15,-0.16,-0.23
1967-10-01,3.1,1.46,0.75,1.85,-0.43,0.37,-0.96
1968-01-01,8.4,5.71,1.81,1.44,0.0,0.56,-1.11
1968-04-01,6.9,3.64,0.55,-0.15,2.77,0.34,-0.3
1968-07-01,3.1,4.42,0.3,0.94,-2.79,1.42,-1.17
1968-10-01,1.6,1.07,0.1,1.45,-0.74,-0.47,0.17
1969-01-01,6.4,2.65,0.25,1.77,2.21,-2.35,1.88
1969-04-01,1.2,1.52,-0.3,0.32,-0.72,3.86,-3.47
