dates,Return to asset,Return to equity
2002-12-01,22.89,135.63
2003-01-01,0.12,0.27
2003-02-01,0.37,1.58
2003-03-01,0.57,2.34
2003-04-01,0.88,3.86
2003-05-01,1.36,6.47
2003-06-01,1.7,8.44
2003-07-01,2.16,11.22
2003-08-01,2.72,13.99
2003-09-01,2.9,14.81
2003-10-01,3.29,17.18
2003-11-01,3.51,18.13
2003-12-01,3.63,18.15
2004-01-01,0.23,0.93
2004-02-01,0.48,1.93
2004-03-01,0.69,2.43
2004-04-01,0.62,1.92
2004-05-01,0.91,3.44
2004-06-01,1.35,6.44
2004-07-01,1.87,9.24
2004-08-01,2.21,10.85
2004-09-01,2.31,12.3
2004-10-01,2.53,13.36
2004-11-01,3.13,15.07
2004-12-01,3.32,15.76
2005-01-01,0.45,2.08
2005-02-01,0.82,3.84
2005-03-01,0.99,4.59
2005-04-01,1.29,6.1
2005-05-01,1.71,8.16
2005-06-01,1.88,8.98
2005-07-01,2.2,10.77
2005-08-01,2.5,12.37
2005-09-01,2.01,8.79
2005-10-01,2.34,10.58
2005-11-01,2.62,12.09
2005-12-01,2.68,12.14
2006-01-01,0.33,1.48
2006-02-01,0.61,3.04
2006-03-01,0.89,4.84
2006-04-01,1.14,6.31
2006-05-01,1.33,7.69
2006-06-01,1.57,9.26
2006-07-01,1.9,11.45
2006-08-01,2.28,14.0
2006-09-01,2.5,15.62
2006-10-01,2.92,18.78
2006-11-01,3.08,19.89
2006-12-01,3.31,21.01
2007-01-01,0.29,1.94
2007-02-01,0.53,3.47
2007-03-01,0.83,5.56
2007-04-01,1.11,7.64
2007-05-01,1.49,10.41
2007-06-01,1.89,13.47
2007-07-01,2.18,15.64
2007-08-01,2.44,17.71
2007-09-01,2.73,19.72
2007-10-01,3.06,22.25
2007-11-01,3.28,23.94
2007-12-01,3.41,24.77
2008-01-01,0.27,1.72
2008-02-01,0.49,3.09
2008-03-01,0.81,5.3
2008-04-01,1.12,7.59
2008-05-01,1.42,9.73
2008-06-01,1.67,11.53
2008-07-01,1.88,13.19
2008-08-01,2.07,14.59
2008-09-01,2.2,15.52
2008-10-01,2.31,16.67
2008-11-01,2.49,18.25
2008-12-01,2.54,18.74
2009-01-01,0.28,1.84
2009-02-01,0.54,3.71
2009-03-01,0.86,5.97
2009-04-01,1.2,8.34
2009-05-01,1.52,10.48
2009-06-01,1.83,12.73
2009-07-01,2.1,14.67
2009-08-01,2.35,16.4
2009-09-01,2.58,18.0
2009-10-01,2.84,19.86
2009-11-01,3.06,21.39
2009-12-01,3.27,22.92
2010-01-01,0.31,1.84
2010-02-01,0.54,3.21
2010-03-01,0.93,5.67
2010-04-01,1.25,7.74
2010-05-01,1.5,9.38
2010-06-01,1.74,11.1
2010-07-01,1.93,12.39
2010-08-01,2.12,13.69
2010-09-01,2.36,15.42
2010-10-01,2.61,17.09
2010-11-01,2.82,18.56
2010-12-01,3.03,20.12
2011-01-01,0.19,1.18
2011-02-01,0.38,2.36
2011-03-01,0.66,4.19
2011-04-01,0.83,5.31
2011-05-01,1.0,6.47
2011-06-01,1.21,7.98
2011-07-01,1.39,9.22
2011-08-01,1.46,9.83
2011-09-01,1.66,11.32
2011-10-01,1.86,12.83
2011-11-01,2.04,14.21
2011-12-01,2.22,15.48
2012-01-01,0.2,1.26
2012-02-01,0.36,2.34
2012-03-01,0.61,4.06
2012-04-01,0.79,5.22
2012-05-01,0.98,6.55
2012-06-01,1.18,7.88
2012-07-01,1.36,9.09
2012-08-01,1.54,10.28
2012-09-01,1.72,11.54
2012-10-01,1.95,13.08
2012-11-01,2.17,14.6
2012-12-01,2.35,15.68
2013-01-01,0.23,1.38
2013-02-01,0.4,2.37
2013-03-01,0.64,3.89
2013-04-01,0.82,5.02
2013-05-01,1.02,6.33
2013-06-01,1.21,7.65
2013-07-01,1.43,9.35
2013-08-01,1.53,10.2
2013-09-01,1.67,11.28
2013-10-01,1.81,12.42
2013-11-01,1.93,13.36
2013-12-01,2.02,14.19
2014-01-01,0.1,0.73
2014-02-01,0.23,1.64
2014-03-01,0.41,2.99
2014-04-01,0.53,3.89
2014-05-01,0.7,5.13
2014-06-01,0.87,6.26
2014-07-01,1.01,7.31
2014-08-01,1.16,8.37
2014-09-01,1.3,9.37
2014-10-01,1.44,10.41
2014-11-01,1.56,11.31
2014-12-01,1.7,12.25
2015-01-01,0.13,0.89
2015-02-01,0.22,1.49
2015-03-01,0.41,2.89
2015-04-01,0.5,3.6
2015-05-01,0.65,4.75
2015-06-01,0.8,5.93
2015-07-01,0.9,6.69
2015-08-01,0.95,7.07
2015-09-01,1.08,8.17
2015-10-01,1.22,9.23
2015-11-01,1.36,10.37
2015-12-01,1.48,11.28
2016-01-01,0.13,0.94
2016-02-01,0.24,1.74
2016-03-01,0.43,3.11
2016-04-01,0.57,4.15
2016-05-01,0.73,5.35
2016-06-01,0.97,7.2
2016-07-01,1.16,8.66
2016-08-01,1.34,10.09
2016-09-01,1.47,10.98
2016-10-01,1.62,12.18
2016-11-01,1.77,13.33
2016-12-01,1.89,14.28
2017-01-01,0.16,1.21
2017-02-01,0.37,2.77
2017-03-01,0.58,4.34
2017-04-01,0.76,5.72
2017-05-01,0.92,6.94
2017-06-01,1.1,8.31
2017-07-01,1.25,9.51
2017-08-01,1.42,10.89
2017-09-01,1.58,12.16
2017-10-01,1.73,13.45
2017-11-01,1.89,14.77
2017-12-01,2.02,15.88
2018-01-01,0.18,1.23
2018-02-01,0.33,2.27
2018-03-01,0.53,3.8
2018-04-01,0.71,5.16
2018-05-01,0.87,6.53
2018-06-01,1.05,7.95
2018-07-01,1.19,9.19
2018-08-01,1.29,10.45
2018-09-01,1.39,11.34
