dates,Real GDP growth,Consumption1,Consumption2,Consumption (public),Fixed investment,Exports,Imports
1998-01-01,181185.236,114421.832,658.435,22246.882,36435.548,32992.216,34287.67
1998-04-01,178139.638,111630.395,571.399,23453.59,33101.17,33771.167,34797.93
1998-07-01,177678.491,112873.539,520.659,22683.071,32361.683,32051.938,32987.541
1998-10-01,172519.723,109946.815,533.801,23769.437,31170.127,32266.24,31491.566
1999-01-01,172170.062,114498.495,523.546,24514.08,28906.287,31239.277,29946.63
1999-04-01,170746.08,115813.792,546.64,23850.349,29596.319,29001.752,33443.53
1999-07-01,171146.417,112744.264,542.138,24104.998,30120.534,28065.687,31787.693
1999-10-01,173915.834,113372.6,573.184,24988.056,31852.014,29692.814,33949.07
2000-01-01,177848.254,118190.346,552.63,24785.158,34452.143,32878.444,36143.481
2000-04-01,182715.637,119314.737,602.201,25708.466,36923.69,36127.281,40042.69
2000-07-01,185963.937,120415.077,593.863,25965.169,38355.536,35995.449,39468.132
2000-10-01,188811.901,118382.755,611.967,25975.026,37869.721,35544.573,41143.434
2001-01-01,183191.987,113450.766,575.501,25142.899,31947.431,36611.265,32376.999
2001-04-01,170472.432,105306.447,505.917,25746.253,25784.271,38172.778,27972.25
2001-07-01,172053.509,108572.893,521.081,25572.927,25581.218,37169.894,29531.933
2001-10-01,169197.943,108109.908,537.229,26404.644,24073.736,35670.987,29030.522
2002-01-01,179429.33,109816.037,554.888,26566.88,29340.903,37753.806,33625.218
2002-04-01,183848.235,113525.926,632.98,27247.039,31025.837,38993.866,33936.092
2002-07-01,186156.504,119045.665,656.651,27593.691,32449.537,41048.994,36875.541
2002-10-01,189751.932,117446.263,653.282,27650.781,35013.012,42388.981,39655.128
2003-01-01,191576.251,121007.336,731.099,27007.176,33593.385,40768.476,40433.79
2003-04-01,191464.765,121581.558,748.025,27716.908,35437.155,40363.349,41782.291
2003-07-01,197918.291,123962.621,735.63,28137.49,39858.363,46553.416,46516.792
2003-10-01,203087.194,130742.038,739.762,27057.695,44514.042,45223.662,50074.451
2004-01-01,207870.963,133658.24,715.054,28770.826,49112.703,45560.164,51494.919
2004-04-01,214380.232,139053.213,691.887,28539.178,51246.799,48084.228,54699.821
2004-07-01,216863.333,136900.635,671.822,28953.188,51087.963,49351.978,53681.661
2004-10-01,220608.253,136046.82,664.203,31297.602,51285.78,51377.008,55330.419
2005-01-01,227416.509,139332.808,655.755,30071.18,55907.132,51423.962,56779.792
2005-04-01,229339.644,141829.617,656.488,29455.504,59803.544,51156.085,58780.717
2005-07-01,236778.81,144031.801,667.779,30676.177,62361.2,52785.62,61176.872
2005-10-01,243817.639,149136.657,689.791,32098.104,64805.984,55540.239,64240.199
2006-01-01,243272.877,147728.161,685.164,33024.698,68181.672,54507.858,64602.985
2006-04-01,253197.677,151406.484,704.474,33583.283,69845.079,55024.349,66100.729
2006-07-01,251507.648,147050.22,709.249,34530.824,71236.198,54496.421,63458.588
2006-10-01,257348.002,148867.584,721.4,34217.441,71449.142,59382.016,65175.773
2007-01-01,260218.77,152960.789,730.988,35501.776,71056.417,61283.04,69207.708
2007-04-01,259813.365,154184.391,738.785,37775.957,73102.077,60070.069,68572.981
2007-07-01,262511.837,156416.638,735.579,36175.775,74777.12,56658.7,70939.641
2007-10-01,273987.307,161270.461,735.142,36126.077,78468.733,61280.031,75637.568
2008-01-01,277053.176,160651.144,758.613,37582.916,78543.205,69176.082,78858.397
2008-04-01,267229.727,155358.388,732.18,37365.643,73242.294,62687.438,70666.519
2008-07-01,263583.624,156028.814,725.005,38275.398,70892.345,59396.464,67392.6
2008-10-01,259258.469,153566.577,696.618,37357.839,66266.339,57375.046,59062.687
2009-01-01,241443.491,146152.811,726.805,39120.257,53730.564,59026.252,53156.654
2009-04-01,252414.74,150397.839,760.286,40476.88,58842.968,57502.062,57162.634
2009-07-01,257864.892,151606.409,733.402,41044.911,58525.879,62201.046,62048.148
2009-10-01,261789.71,153121.631,741.161,43647.671,61625.787,62058.981,63590.724
2010-01-01,262861.498,155840.914,657.591,41750.125,60193.359,57334.714,62500.597
2010-04-01,271397.788,163331.343,602.963,40036.583,66011.504,63768.578,68798.321
2010-07-01,279141.007,174151.353,608.805,41318.865,73420.329,60833.368,72892.195
2010-10-01,287598.75,172846.579,631.388,41513.548,78895.203,64440.979,79217.053
2011-01-01,295210.213,182349.788,714.092,41149.235,78740.44,63867.301,81182.585
2011-04-01,300923.877,187415.561,753.437,43030.763,86825.916,66870.534,81662.17
2011-07-01,309183.986,188243.823,797.24,42458.214,88957.684,75534.098,80794.434
2011-10-01,314236.335,185067.568,840.288,44895.863,89847.278,73057.59,77967.065
2012-01-01,312764.211,186534.688,738.496,43951.197,86171.956,73595.15,78441.341
2012-04-01,316207.612,188702.298,735.179,45220.335,87620.674,83637.228,81150.73
2012-07-01,321822.459,192588.061,735.801,46338.326,89792.588,81508.057,82991.204
2012-10-01,327429.705,191671.111,729.263,45672.953,92557.37,82556.69,79947.934
2013-01-01,337792.848,200120.58,659.679,47811.594,97769.264,81288.338,87584.72
2013-04-01,347613.763,200658.724,648.41,48760.367,101550.476,88070.141,91118.193
2013-07-01,351305.474,208225.817,661.33,49873.43,105300.27,83312.766,89498.93
2013-10-01,352496.349,205335.169,682.328,48879.477,103837.007,83791.934,91147.098
